this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Telstar,The Tornadoes,The Tornadoes,rock,19621103,85,1,16,19621229
2,2,Limbo Rock,Chubby Checker,Chubby Checker,rock,19620908,85,2,23,19621229
3,4,Bobby's Girl,Marcie Blane,Marcie Blane,pop,19621020,87,3,16,19621229
4,7,Go Away Little Girl,Steve Lawrence,Steve Lawrence,pop,19621103,125,1,18,19621229
5,5,Big Girls Don't Cry,The Four Seasons,The Four Seasons,pop,19621020,66,1,16,19621229
6,3,Return To Sender,Elvis Presley,Elvis Presley,rock,19621020,68,2,16,19621229
7,9,You Are My Sunshine,Ray Charles,Ray Charles,jazz,19621117,77,7,12,19621229
8,8,Release Me,"Esther Phillips ""Little Esther""","Esther Phillips ""Little Esther""",pop,19621027,90,8,14,19621229
9,16,Zip-A-Dee Dooh-Dah,Bob B. Sox And The Blue Jeans,Bob B. Sox And The Blue Jeans,pop,19621117,75,8,13,19621229
10,14,Hotel Happiness,Brook Benton,Brook Benton,rnb / soul,19621124,65,3,12,19621229
11,23,Pepino The Italian Mouse,Lou Monte,Lou Monte,pop,19621124,127,5,12,19621229
12,12,Keep Your Hands Off My Baby,Litta Eva,Litta Eva,pop,19621027,108,12,13,19621229
13,15,Dear Lonely Hearts,Nat King Cole,Nat King Cole,jazz,19621110,89,13,11,19621229
14,22,Tell Him,The Exciters,The Exciters,rnb / soul,19621201,81,4,13,19621229
15,11,The Lonely Bull (El Solo Torro),The Tijuana Brass Featuring Herb Alpert,The Tijuana Brass,pop,19621020,128,6,15,19621229
16,6,Don't Hang Up,The Orlons,The Orlons,rnb / soul,19621013,91,4,15,19621229
17,20,Chains,The Cookies,The Cookies,pop,19621110,87,17,12,19621229
18,10,Love Came To Me,Dion,Dion,pop,19621103,124,10,12,19621229
19,25,Two Lovers,Mary Wells,Mary Wells,rnb / soul,19621124,119,7,14,19621229
20,27,My Dad,Paul Petersen,Paul Petersen,pop,19621117,93,6,16,19621229
21,35,The Night Has A Thousand Eyes,Bobby Vee,Bobby Vee,pop,19621201,129,3,15,19621229
22,18,Ruby Ann,Marty Robbins,Marty Robbins,country / folk,19621117,88,18,10,19621229
23,34,Santa Claus Is Coming To Town,The Four Seasons,The Four Seasons,pop,19621215,56,23,3,19621229
24,24,Wiggle Wobble,Les Cooper And The Soul Rockers,Les Cooper And The Soul Rockers,pop,19621027,83,22,15,19621229
25,13,Ride,Dee Dee Sharp,Dee Dee Sharp,rnb / soul,19621020,84,5,13,19621229
26,17,Rumors,Johnny Crawford,Johnny Crawford,pop,19621103,95,12,10,19621229
27,28,Everybody Loves A Lover,The Shirelles,The Shirelles,pop,19621201,94,19,12,19621229
28,33,The Little Drummer Boy,The Harry Simeon Chorale,The Harry Simeon Chorale,pop,19621208,66,28,4,19621229
29,41,Up On The Roof,The Drifters,The Drifters,rnb / soul,19621013,120,5,23,19621229
30,45,It's Up To You,Rick Nelson,Rick Nelson,rock,19621215,58,6,12,19621229
31,40,Monsters' Holiday,Bobby (Boris) Pickett And The Crypt-Kickers,Bobby (Boris) Pickett And The Crypt-Kickers,pop,19621208,80,30,6,19621229
32,29,Your Cheating Heart,Ray Charles,Ray Charles,jazz,19621117,84,29,11,19621229
33,21,(Dance With The) Guitar Man,Duane Eddy And The Rebelettes,Duane Eddy And The Rebelettes,rock,19620929,114,12,17,19621229
34,38,Shutters And Boards,Jerry Wallace,Jerry Wallace,country / folk,19621110,126,24,13,19621229
35,19,Let's Go (Pony),The Routers,The Routers,pop,19620929,115,19,16,19621229
