this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Hello,Adele,Adele,rnb / soul,soul,20151114,1,1,26,20151226
2,2,Sorry,Justin Bieber,Justin Bieber,pop,pop,20151114,2,1,42,20151226
3,3,Hotline Bling,Drake,Drake,hip-hop,hip-hop,20150822,66,2,36,20151226
4,4,What Do You Mean?,Justin Bieber,Justin Bieber,pop,pop,20150919,1,1,31,20151226
5,7,Love Yourself,Justin Bieber,Justin Bieber,pop,pop,20151205,4,1,41,20151226
6,5,The Hills,The Weeknd,The Weeknd,rnb / soul,rnb,20150613,20,1,48,20151226
7,6,Stitches,Shawn Mendes,Shawn Mendes,pop,pop,20150613,89,4,52,20151226
8,8,Here,Alessia Cara,Alessia Cara,pop,pop,20150822,95,5,34,20151226
9,10,Same Old Love,Selena Gomez,Selena Gomez,pop,pop,20151003,43,5,28,20151226
10,9,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Meghan Trainor,pop,pop,20150725,95,8,39,20151226
11,11,679,Fetty Wap Featuring Remy Boyz,Fetty Wap,hip-hop,hip-hop,20150718,34,4,40,20151226
12,12,Ex's & Oh's,Elle King,Elle King,pop,indie pop,20150725,96,10,38,20151226
13,13,On My Mind,Ellie Goulding,Ellie Goulding,pop,female vocalists,20151010,22,13,22,20151226
14,15,Jumpman,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,52,12,32,20151226
15,16,Can't Feel My Face,The Weeknd,The Weeknd,rnb / soul,rnb,20150627,24,1,41,20151226
16,19,Antidote,Travi$ Scott,Travi$ Scott,hip-hop,hip-hop,20150926,75,16,26,20151226
17,20,Lean On,Major Lazer X Dj Snake Featuring M0,Major Lazer,pop,seen live,20150425,100,4,48,20151226
18,14,Wildest Dreams,Taylor Swift,Taylor Swift,country / folk,country,20150919,15,5,26,20151226
19,37,In The Night,The Weeknd,The Weeknd,rnb / soul,rnb,20151205,86,12,19,20151226
20,24,Don't,Bryson Tiller,Bryson Tiller,rnb / soul,rnb,20151017,84,13,34,20151226
21,NEW,Somebody To Love,Jordan Smith,Jordan Smith,pop,seen live,20151226,21,21,2,20151226
22,26,All I Want For Christmas Is You,Mariah Carey,Mariah Carey,pop,pop,20151219,26,11,4,20151226
23,22,White Iverson,Post Malone,Post Malone,hip-hop,hip-hop,20150926,84,14,30,20151226
24,17,Focus,Ariana Grande,Ariana Grande,pop,pop,20151121,7,7,13,20151226
25,23,Die A Happy Man,Thomas Rhett,Thomas Rhett,country / folk,country,20151010,92,21,30,20151226
26,18,Watch Me,Silento,Silento,hip-hop,hip-hop,20150314,98,3,51,20151226
27,28,Trap Queen,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150207,86,2,52,20151226
28,45,Stressed Out,Twenty One Pilots,Twenty One Pilots,pop,electronic,20151024,95,2,50,20151226
29,36,Roses,The Chainsmokers Featuring Rozes,The Chainsmokers,pop,electronic,20151107,95,6,31,20151226
30,30,Say It,Tory Lanez,Tory Lanez,hip-hop,hip-hop,20151107,90,23,24,20151226
31,21,Confident,Demi Lovato,Demi Lovato,pop,pop,20151031,58,21,19,20151226
32,27,Perfect,One Direction,One Direction,pop,pop,20151107,10,10,20,20151226
33,25,Locked Away,R. City Featuring Adam Levine,R. City,rnb / soul,rnb,20150808,85,6,27,20151226
34,32,Break Up In A Small Town,Sam Hunt,Sam Hunt,country / folk,country,20151024,90,29,20,20151226
35,29,Where Ya At,Future Featuring Drake,Future,hip-hop,hip-hop,20150808,68,28,25,20151226
36,66,"Me, Myself & I",G-Eazy & Bebe Rexha,G-Eazy,hip-hop,hip-hop,20151121,83,7,37,20151226
37,41,No Role Modelz,J. Cole,J. Cole,hip-hop,hip-hop,20150912,91,36,24,20151226
38,31,Where Are U Now,Skrillex & Diplo Featuring Justin Bieber,Skrillex & Diplo,electronic,dubstep,20150321,97,8,45,20151226
39,54,Adventure Of A Lifetime,Coldplay,Coldplay,rock,rock,20151128,55,13,20,20151226
40,38,Good For You,Selena Gomez Featuring A$Ap Rocky,Selena Gomez,pop,pop,20150711,9,5,26,20151226
41,39,See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz Khalifa,hip-hop,hip-hop,20150328,100,1,52,20151226
42,42,Again,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150829,33,33,26,20151226
43,46,Cheerleader,Omi,Omi,reggae,reggae,20150509,95,1,35,20151226
44,NEW,Rockin' Around The Christmas Tree,Brenda Lee,Brenda Lee,pop,oldies,20151226,44,30,3,20151226
45,35,Hit The Quan,Ilovememphis,Ilovememphis,pop,crunk,20150905,41,15,20,20151226
46,33,Drag Me Down,One Direction,One Direction,pop,pop,20150822,3,3,20,20151226
47,48,Burning House,Cam,Cam,pop,trip-hop,20150801,94,29,25,20151226
48,53,Hide Away,Daya,Daya,pop,pop,20151017,100,23,26,20151226
49,47,Back Up,Dej Loaf Featuring Big Sean,Dej Loaf,hip-hop,hip-hop,20151024,83,47,18,20151226
50,40,Renegades,X Ambassadors,X Ambassadors,rock,indie,20150502,99,17,35,20151226
51,34,I'll Show You,Justin Bieber,Justin Bieber,pop,pop,20151121,51,19,12,20151226
52,64,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,Shawn Mendes,pop,pop,20151205,97,20,20,20151226
53,60,Exchange,Bryson Tiller,Bryson Tiller,rnb / soul,rnb,20151114,98,26,34,20151226
54,56,Gonna,Blake Shelton,Blake Shelton,country / folk,country,20151003,86,54,18,20151226
55,70,My House,Flo Rida,Flo Rida,hip-hop,hip-hop,20151128,96,4,39,20151226
56,52,Used To Love You,Gwen Stefani,Gwen Stefani,pop,pop,20151212,77,52,8,20151226
57,59,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,Missy Elliott,hip-hop,hip-hop,20151128,91,22,14,20151226
58,49,Lay It All On Me,Rudimental Featuring Ed Sheeran,Rudimental,pop,seen live,20151031,87,48,15,20151226
59,65,Stay A Little Longer,Brothers Osborne,Brothers Osborne,country / folk,country,20151024,99,46,20,20151226
60,58,Bet You Can't Do It Like Me,Dlow,Dlow,pop,chicago,20151128,61,45,15,20151226
61,85,Stand By You,Rachel Platten,Rachel Platten,pop,pop,20151212,91,37,19,20151226
62,63,The Fix,Nelly Featuring Jeremih,Nelly,hip-hop,hip-hop,20151024,94,62,19,20151226
63,72,Cake By The Ocean,Dnce,Dnce,pop,pop,20151107,79,9,46,20151226
64,68,Big Rings,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,75,52,20,20151226
65,62,Gonna Know We Were Here,Jason Aldean,Jason Aldean,country / folk,country,20151107,92,54,15,20151226
66,73,Back To Back,Drake,Drake,hip-hop,hip-hop,20150822,21,21,20,20151226
67,84,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,Luke Bryan,country / folk,country,20151212,97,38,19,20151226
68,87,Down In The DM,Yo Gotti,Yo Gotti,hip-hop,rap,20151219,87,13,21,20151226
69,51,Nothin' Like You,Dan + Shay,Dan + Shay,country / folk,country,20150829,97,51,19,20151226
70,57,The Feeling,Justin Bieber Featuring Halsey,Justin Bieber,pop,pop,20151205,31,31,7,20151226
71,77,I Got The Boy,Jana Kramer,Jana Kramer,country / folk,country,20151031,92,56,16,20151226
72,86,Best Friend,Young Thug,Young Thug,hip-hop,hip-hop,20151212,98,45,20,20151226
73,78,Top Of The World,Tim Mcgraw,Tim Mcgraw,country / folk,country,20151031,99,73,13,20151226
74,79,I Love This Life,Locash,Locash,pop,classic,20151114,97,56,18,20151226
75,89,One Call Away,Charlie Puth,Charlie Puth,pop,pop,20151219,89,12,26,20151226
76,67,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Koo",Macklemore & Ryan Lewis,hip-hop,hip-hop,20150912,94,12,20,20151226
77,NEW,Hands To Myself,Selena Gomez,Selena Gomez,pop,pop,20151226,77,7,20,20151226
78,69,When We Were Young,Adele,Adele,rnb / soul,soul,20151212,22,14,20,20151226
