artist|cleaned genre|original genre
MAROON 5|rock|rock
JUICE WRLD|hip-hop|hip-hop
POST MALONE|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
LADY GAGA & BRADLEY COOPER|soundtrack|soundtrack
TRAVIS SCOTT|hip-hop|hip-hop
5 SECONDS OF SUMMER|rock|pop rock
MARSHMELLO|electronic|dance
CARDI B, BAD BUNNY & J BALVIN|hip-hop|hip-hop
6IX9INE|hip-hop|hip-hop
DRAKE|hip-hop|hip-hop
KHALID|pop|pop
IMAGINE DRAGONS|rock|indie
TYGA|hip-hop|hip-hop
ELLA MAI|rnb / soul|rnb
KANYE WEST|hip-hop|hip-hop
HALSEY|pop|pop
BENNY BLANCO|pop|pop
SELENA GOMEZ|pop|pop
ARIANA GRANDE|pop|pop
LIL WAYNE|hip-hop|rap
SHECK WES|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
YG|hip-hop|hip-hop
LIL BABY|hip-hop|hip-hop
DJ SNAKE|hip-hop|trap
DJ KHALED|hip-hop|hip-hop
TAYLOR SWIFT|country / folk|country
BEBE REXHA|pop|pop
PANIC! AT THE DISCO|rock|rock
LADY GAGA|pop|pop
XXXTENTACION|hip-hop|hip-hop
LOVELYTHEBAND|rock|alternative
LAUV|pop|indie pop
BEBE REXHA|pop|pop
EMINEM|hip-hop|rap
ZEDD|electronic|electronic
GUCCI MANE|hip-hop|hip-hop
BAZZI|rnb / soul|rnb
FLORIDA GEORGIA LINE|country / folk|country
DAN + SHAY|country / folk|country
LIL PEEP & XXXTENTACION|emo|emo
LUKE COMBS|country / folk|country
CARDI B|hip-hop|hip-hop
BRYCE VINE|hip-hop|hip-hop
LIL DUVAL|hip-hop|hip-hop
RUSSELL DICKERSON|country / folk|country
TIESTO|electronic|trance
LIL UZI VERT|hip-hop|hip-hop
KANE BROWN|country / folk|country
COLE SWINDELL|country / folk|country
ERIC CHURCH|country / folk|country
OLD DOMINION|country / folk|country
NF|hip-hop|hip-hop
MITCHELL TENPENNY|pop|pop
LAUREN DAIGLE|pop|pop
KODAK BLACK|hip-hop|rap
MEEK MILL|hip-hop|hip-hop
KHALID|pop|pop
WEEZER|rock|rock
