,pos,last_pos,peak,num_weeks,album,artist,entry_date,entry_pos,peak_pos,week,in
0,1,-99,1,3,A Star Is Born OST,LADY GAGA & BRADLEY COOPER,2018-10-20,1,1,20181103,0
1,2,-100,2,1,Future & Juice WRLD Present... WRLD ON DRUGS,FUTURE & JUICE WRLD,2018-11-03,2,2,20181103,1
2,3,-100,3,1,Anthem Of The Peaceful Army,GRETA VAN FLEET,2018-11-03,3,3,20181103,2
3,4,-100,4,1,Evolution,DISTURBED,2018-11-03,4,4,20181103,3
4,5,-97,1,4,Tha Carter V,LIL WAYNE,2018-10-13,1,1,20181103,4
5,6,-96,4,3,Drip Harder,LIL BABY & GUNNA,2018-10-20,4,4,20181103,5
6,7,-94,1,17,Scorpion,DRAKE,2018-07-14,1,1,20181103,6
7,8,-100,8,1,Suncity,KHALID,2018-11-03,8,8,20181103,7
8,9,-92,1,12,Astroworld,TRAVIS SCOTT,2018-08-18,1,1,20181103,8
9,10,-91,1,26,beerbongs & bentleys,POST MALONE,2018-05-12,1,1,20181103,9
10,11,-98,2,3,Quavo Huncho,QUAVO,2018-10-20,66,2,20181103,10
11,12,-100,12,1,Nuthin' 2 Prove,LIL YACHTY,2018-11-03,12,12,20181103,11
12,13,-95,5,2,Ella Mai,ELLA MAI,2018-10-27,5,5,20181103,12
13,14,-93,2,3,Trench,TWENTY ONE PILOTS,2018-10-20,2,2,20181103,13
14,15,-90,1,8,Kamikaze,EMINEM,2018-09-15,1,1,20181103,14
15,16,-88,4,23,Goodbye & Good Riddance,JUICE WRLD,2018-06-02,15,4,20181103,15
16,17,-87,1,32,?,XXXTENTACION,2018-03-31,1,1,20181103,16
17,18,-85,1,29,Invasion Of Privacy,CARDI B,2018-04-21,1,1,20181103,17
18,19,-89,4,4,Luca Brasi 3,KEVIN GATES,2018-10-13,4,4,20181103,18
19,20,-86,1,10,Sweetener,ARIANA GRANDE,2018-09-01,1,1,20181103,19
20,21,-100,21,1,NAMANANA: 03,LAY,2018-11-03,21,21,20181103,20
21,22,-100,22,1,Bohemian Rhapsody OST,QUEEN,2018-11-03,22,22,20181103,21
22,23,-81,3,7,Look Up Child,LAUREN DAIGLE,2018-09-22,3,3,20181103,22
23,24,-79,4,73,This One's For You,LUKE COMBS,2017-06-24,5,4,20181103,23
24,25,-80,1,46,The Greatest Showman OST,VARIOUS ARTISTS,2017-12-30,71,1,20181103,24
25,26,-100,26,1,mono.,RM,2018-11-03,26,26,20181103,25
26,27,-58,1,28,Rearview Town,JASON ALDEAN,2018-04-28,1,1,20181103,26
27,28,-83,2,11,Queen,NICKI MINAJ,2018-08-25,2,2,20181103,27
28,29,-100,29,1,Northsbest,LIL MOSEY,2018-11-03,29,29,20181103,28
29,30,-77,4,98,Stoney,POST MALONE,2016-12-31,6,4,20181103,29
30,31,-78,1,86,Divide,ED SHEERAN,2017-03-25,1,1,20181103,30
31,32,-76,17,3,Mudboy,SHECK WES,2018-10-20,17,17,20181103,31
32,33,-74,2,61,17,XXXTENTACION,2017-09-16,2,2,20181103,32
33,34,-75,3,23,Harder Than Ever,LIL BABY,2018-06-02,3,3,20181103,33
34,35,-71,3,161,Hamilton: An American Musical,ORIGINAL BROADWAY CAST RECORDING,2015-10-17,12,3,20181103,34
35,36,-61,4,86,American Teen,KHALID,2017-03-25,9,4,20181103,35
36,37,-72,3,6,East Atlanta Love Letter,6LACK,2018-09-29,3,3,20181103,36
37,38,-100,38,1,Live From The Ryman,JASON ISBELL AND THE 400 UNIT,2018-11-03,38,38,20181103,37
38,39,-60,1,18,Pray For The Wicked,PANIC! AT THE DISCO,2018-07-07,1,1,20181103,38
39,40,-64,2,70,Evolve,IMAGINE DRAGONS,2017-07-15,2,2,20181103,39
40,41,-84,5,3,Desperate Man,ERIC CHURCH,2018-10-20,5,5,20181103,40
41,42,29,27,68,Dua Lipa,DUA LIPA,2017-07-29,162,27,20181103,41
42,43,-62,14,6,4Respect 4Freedom 4Loyalty 4Whatimportant,YOUNGBOY NEVER BROKE AGAIN,2018-09-29,14,14,20181103,42
43,44,-100,44,1,Last Day Of Summer,SUMMER WALKER,2018-11-03,44,44,20181103,43
44,45,-57,14,29,Cosmic,BAZZI,2018-04-21,35,14,20181103,44
